project_id,project,customer_id,customer,date,youtube_id
32903,Appart st Laurent,720,IAD,2019-09-30 13:53:37,8llLEqWHeL8
32955,T5 Condorcet,720,IAD,2019-10-01 09:32:25,f97zr5WhQ7s
32978,Duplex Mme Tauber,720,IAD,2019-10-01 13:59:31,9lcyVLBwvQc
32985,good motion,720,IAD,2019-10-01 14:14:22,-H1HlGWL_Rk
33038,Developpement,720,IAD,2019-10-02 05:21:10,40PRIE66U1Q
33072,Sandrine,720,IAD,2019-10-02 12:42:45,RTJx5su2UEE
33082,Developpement,720,IAD,2019-10-02 13:45:37,Rx1Tl6n8J-8
33282,développement,720,IAD,2019-10-04 16:06:11,wb5yx9isTgY
33290,Appartement 3 pièces au Cros de Cagnes,720,IAD,2019-10-04 22:08:58,sig9AzNxfWw
33524,BENOIT IAD 2019,720,IAD,2019-10-09 12:34:17,Vcey6cN_vgY
33550,St Jean de Liversay,720,IAD,2019-10-09 15:10:56,p2lXu8mA7zA
33553,Auneau Flahaut Ramos Cepeda,720,IAD,2019-10-09 16:12:59,kFZJpUwNBbA
33578,Guillaume recrutement 1,720,IAD,2019-10-10 08:28:13,FATH1Vv3CSs
33649,Poa,720,IAD,2019-10-10 18:53:21,mSqzSmUBSes
33655,présentation services,720,IAD,2019-10-11 04:02:04,izC7E6Ty-WQ
33677,presentation,720,IAD,2019-10-11 09:19:33,OoQI2QP6nfo
33739,MLM Iad France,720,IAD,2019-10-11 15:29:02,82AZKqgGNfY
34108,présentation,720,IAD,2019-10-17 16:02:40,HNIShfdallg
34127,Développement d'équipe,720,IAD,2019-10-18 08:17:48,v6DhFr3D9DA
34204,Vidéo rentrée,720,IAD,2019-10-19 10:12:59,Iu13nyu0BH0
34207,Développement d’équipe,720,IAD,2019-10-19 11:43:22,EVN2nA-cC-g
27578,Offre d’emploi,720,IAD,2019-06-06 12:46:45,_DxvIwwNcPM
24467,Mes services,720,IAD,2019-04-02 12:29:17,kraLNTkZp78
33358,Presentation oct 2019,720,IAD,2019-10-07 14:54:59,njR4Bc4j2Q8
34338,ce,720,IAD,2019-10-22 10:03:16,RhowfzyGwQ8
34411,Recrutement,720,IAD,2019-10-23 08:38:36,4b3TZbwpIG4
34769,salillas,720,IAD,2019-10-29 12:54:23,LR8uQ6VqFIE
34793,Présentation Thiabult LAVIE - IAD France,720,IAD,2019-10-29 14:57:35,CCfb_NX3ONA
34801,Martine Guillot Conseillère Immobilier,720,IAD,2019-10-29 15:59:29,EX5Qeu3Ecy8
34915,Présentation,720,IAD,2019-10-31 09:30:44,w_TiUhJguP0
34973,Appartement T2 Miramas,720,IAD,2019-10-31 18:00:02,nRJp0hp-whU
21867,Motion 3,720,IAD,2019-02-11 15:22:55,WiZpwzinplI
22157,Immo motion,720,IAD,2019-02-18 11:47:25,0AIvaWB6od4
22221,Projet 2,720,IAD,2019-02-19 08:34:08,TEtVxw4VaCU
22386,présentation vidéo kasperzec iad,720,IAD,2019-02-20 17:50:41,yyhLiZiIDkI
22420,soustons,720,IAD,2019-02-21 11:02:33,m5Agmsh1pM0
22426,Pub Marc Plisson,720,IAD,2019-02-21 12:12:14,weo0HsLsWDk
22492,Projet,720,IAD,2019-02-22 14:21:23,8DPoYhcSv9Y
22508,Présentation,720,IAD,2019-02-22 17:42:29,G3Y6WXpItcE
22518,Fusaro,720,IAD,2019-02-23 12:02:39,IGhluch0ayw
22520,601002,720,IAD,2019-02-23 16:10:00,NjGyElbIQTk
22524,Appartement,720,IAD,2019-02-23 19:27:20,0TiSWyiHzG8
22545,Mandat xxxxxx,720,IAD,2019-02-25 10:00:02,VnEILH0OYJc
22563,Fred2,720,IAD,2019-02-25 13:27:29,9hrj6fjid98
22610,video Presentation IAD,720,IAD,2019-02-26 06:36:36,04nKqaevc3Q
22671,Albrecht Neufmoutiers,720,IAD,2019-02-26 14:10:24,fbKR8GuyANU
22677,brichebay,720,IAD,2019-02-26 15:03:40,nmAYw2ZZ4ko
22687,nico,720,IAD,2019-02-26 15:55:07,YxLDV0W6MAY
22712,Arthez d'Armagnac,720,IAD,2019-02-26 21:00:20,s2QKvIvYuXA
22732,iad les adrets,720,IAD,2019-02-27 11:16:04,2vPHUSwvpns
22772,Annika TRENTI,720,IAD,2019-02-27 19:50:20,NXdcZFVIqzQ
22779,Presentation,720,IAD,2019-02-28 05:24:30,x_UGTuqdvnY
22807,Présentation,720,IAD,2019-02-28 10:54:18,XqBB2UrYf00
22844,Prospection,720,IAD,2019-03-01 02:24:58,_2tjeO8myU8
22847,Pat 1,720,IAD,2019-03-01 07:49:19,evfQ8pJ0j-o
22896,1,720,IAD,2019-03-01 20:20:54,UG-FSAWDHh0
22903,plailly,720,IAD,2019-03-02 16:52:36,Bn5yEIysPD0
22917,vidéo at,720,IAD,2019-03-04 09:05:31,b2VJW4UVQC0
22940,présentation,720,IAD,2019-03-04 14:37:59,vy4Za1TAMnI
23262,Marly,720,IAD,2019-03-08 22:08:27,sKFHS7mDTqE
23271,Vendôme,720,IAD,2019-03-09 18:43:32,3MTRVppZVfw
23394,projet 1,720,IAD,2019-03-12 15:13:56,a17dJ3NrClY
23465,Maison Hyper centre Niort,720,IAD,2019-03-13 21:33:59,g1x_3EvU3GU
23562,v3,720,IAD,2019-03-15 15:53:23,Yaeksd4X8hk
23607,presentation IAD,720,IAD,2019-03-18 10:30:32,EofgorIKnMY
23612,azur,720,IAD,2019-03-18 11:15:44,csZdlxyBq1Y
23657,présentation services,720,IAD,2019-03-19 08:16:44,kGDK6s17_SQ
23762,présentation iad brice Benoist Ezanville,720,IAD,2019-03-20 16:34:19,SY4W9W660fs
23814,Maison 5min Margaux,720,IAD,2019-03-21 12:21:20,Q02NpSBOxTY
23855,Natario xavier,720,IAD,2019-03-21 15:26:58,nTXcn8OHXzM
23876,Maison 5min Margaux,720,IAD,2019-03-21 20:38:25,B0RhMjrZ_Cw
23910,présentation services IAD,720,IAD,2019-03-22 14:17:07,MhVZ-QI1mzc
23937,Villa 5P 4 chambres St Jean de Cannes,720,IAD,2019-03-23 09:46:46,cng-SCJCTRU
22354,Video prez,720,IAD,2019-02-20 14:44:10,KjKYK-Pa1dU
22379,Montevrain F3,720,IAD,2019-02-20 16:40:29,eiVQiN12iA0
22392,scaer,720,IAD,2019-02-20 19:26:56,eu9nW_hyVHI
22395,Video facebook nath 2,720,IAD,2019-02-20 20:27:10,HHeYZRxz6e4
22419,Video presentation,720,IAD,2019-02-21 10:56:47,EAFyqAQTruQ
22446,Location bondoufle 2,720,IAD,2019-02-21 15:25:33,Cixke8xeRIQ
22510,617303,720,IAD,2019-02-22 18:59:19,8Fg69P-Avck
22558,609641,720,IAD,2019-02-25 11:48:47,BDlQ3k0K-No
22579,service iad,720,IAD,2019-02-25 15:23:22,5qdF0B04Okw
22590,présentation metier,720,IAD,2019-02-25 16:04:44,D_KIu0f-vP4
22593,Prez motion design,720,IAD,2019-02-25 16:33:08,Ck2TK5KBtAc
22600,présentation video,720,IAD,2019-02-25 17:42:35,Oo6bewX5yMQ
22643,pub IAD lio,720,IAD,2019-02-26 11:38:02,G41PxEnic6k
22737,présentation,720,IAD,2019-02-27 13:09:48,TBQcL55iJsc
22741,538517,720,IAD,2019-02-27 13:41:26,3XyvanaDltE
22760,IAD,720,IAD,2019-02-27 16:19:33,ULbL6XYWgeE
22799,Motion,720,IAD,2019-02-28 10:11:16,5qo1Rq82NdE
22848,Presentation,720,IAD,2019-03-01 07:53:14,kKSjQJKhokw
22895,nebout,720,IAD,2019-03-01 19:51:25,iAY98XCvTB4
22901,Vincennes 459 000€,720,IAD,2019-03-02 13:08:52,y0tvrXKkyIo
22920,Immo Iad Angélique Turmel,720,IAD,2019-03-04 09:57:00,2pvfEIxkB0w
